service_id,date,exception_type
平日土曜夏期,20220811,2
平日土曜夏期,20220813,2
平日土曜夏期,20220814,2
平日土曜夏期,20220815,2
平日土曜夏期,20220816,2
平日土曜夏期,20220919,2
平日土曜夏期,20220923,2
平日土曜夏期,20221010,2
平日土曜夏期,20221103,2
平日土曜夏期,20221123,2
平日土曜冬期,20220401,2
平日土曜冬期,20220402,2
平日土曜冬期,20220403,2
平日土曜冬期,20220404,2
平日土曜冬期,20220405,2
平日土曜冬期,20220406,2
平日土曜冬期,20220407,2
平日土曜冬期,20220408,2
平日土曜冬期,20220409,2
平日土曜冬期,20220410,2
平日土曜冬期,20220411,2
平日土曜冬期,20220412,2
平日土曜冬期,20220413,2
平日土曜冬期,20220414,2
平日土曜冬期,20220415,2
平日土曜冬期,20220416,2
平日土曜冬期,20220417,2
平日土曜冬期,20220418,2
平日土曜冬期,20220419,2
平日土曜冬期,20220420,2
平日土曜冬期,20220421,2
平日土曜冬期,20220422,2
平日土曜冬期,20220423,2
平日土曜冬期,20220424,2
平日土曜冬期,20220425,2
平日土曜冬期,20220426,2
平日土曜冬期,20220427,2
平日土曜冬期,20220428,2
平日土曜冬期,20220429,2
平日土曜冬期,20220430,2
平日土曜冬期,20220501,2
平日土曜冬期,20220502,2
平日土曜冬期,20220503,2
平日土曜冬期,20220504,2
平日土曜冬期,20220505,2
平日土曜冬期,20220506,2
平日土曜冬期,20220507,2
平日土曜冬期,20220508,2
平日土曜冬期,20220509,2
平日土曜冬期,20220510,2
平日土曜冬期,20220511,2
平日土曜冬期,20220512,2
平日土曜冬期,20220513,2
平日土曜冬期,20220514,2
平日土曜冬期,20220515,2
平日土曜冬期,20220516,2
平日土曜冬期,20220517,2
平日土曜冬期,20220518,2
平日土曜冬期,20220519,2
平日土曜冬期,20220520,2
平日土曜冬期,20220521,2
平日土曜冬期,20220522,2
平日土曜冬期,20220523,2
平日土曜冬期,20220524,2
平日土曜冬期,20220525,2
平日土曜冬期,20220526,2
平日土曜冬期,20220527,2
平日土曜冬期,20220528,2
平日土曜冬期,20220529,2
平日土曜冬期,20220530,2
平日土曜冬期,20220531,2
平日土曜冬期,20220601,2
平日土曜冬期,20220602,2
平日土曜冬期,20220603,2
平日土曜冬期,20220604,2
平日土曜冬期,20220605,2
平日土曜冬期,20220606,2
平日土曜冬期,20220607,2
平日土曜冬期,20220608,2
平日土曜冬期,20220609,2
平日土曜冬期,20220610,2
平日土曜冬期,20220611,2
平日土曜冬期,20220612,2
平日土曜冬期,20220613,2
平日土曜冬期,20220614,2
平日土曜冬期,20220615,2
平日土曜冬期,20220616,2
平日土曜冬期,20220617,2
平日土曜冬期,20220618,2
平日土曜冬期,20220619,2
平日土曜冬期,20220620,2
平日土曜冬期,20220621,2
平日土曜冬期,20220622,2
平日土曜冬期,20220623,2
平日土曜冬期,20220624,2
平日土曜冬期,20220625,2
平日土曜冬期,20220626,2
平日土曜冬期,20220627,2
平日土曜冬期,20220628,2
平日土曜冬期,20220629,2
平日土曜冬期,20220630,2
平日土曜冬期,20220701,2
平日土曜冬期,20220702,2
平日土曜冬期,20220703,2
平日土曜冬期,20220704,2
平日土曜冬期,20220705,2
平日土曜冬期,20220706,2
平日土曜冬期,20220707,2
平日土曜冬期,20220708,2
平日土曜冬期,20220709,2
平日土曜冬期,20220710,2
平日土曜冬期,20220711,2
平日土曜冬期,20220712,2
平日土曜冬期,20220713,2
平日土曜冬期,20220714,2
平日土曜冬期,20220715,2
平日土曜冬期,20220716,2
平日土曜冬期,20220717,2
平日土曜冬期,20220718,2
平日土曜冬期,20220719,2
平日土曜冬期,20220720,2
平日土曜冬期,20220721,2
平日土曜冬期,20220722,2
平日土曜冬期,20220723,2
平日土曜冬期,20220724,2
平日土曜冬期,20220725,2
平日土曜冬期,20220726,2
平日土曜冬期,20220727,2
平日土曜冬期,20220728,2
平日土曜冬期,20220729,2
平日土曜冬期,20220730,2
平日土曜冬期,20220731,2
平日土曜冬期,20220801,2
平日土曜冬期,20220802,2
平日土曜冬期,20220803,2
平日土曜冬期,20220804,2
平日土曜冬期,20220805,2
平日土曜冬期,20220806,2
平日土曜冬期,20220807,2
平日土曜冬期,20220808,2
平日土曜冬期,20220809,2
平日土曜冬期,20220810,2
平日土曜冬期,20220811,2
平日土曜冬期,20220812,2
平日土曜冬期,20220813,2
平日土曜冬期,20220814,2
平日土曜冬期,20220815,2
平日土曜冬期,20220816,2
平日土曜冬期,20220817,2
平日土曜冬期,20220818,2
平日土曜冬期,20220819,2
平日土曜冬期,20220820,2
平日土曜冬期,20220821,2
平日土曜冬期,20220822,2
平日土曜冬期,20220823,2
平日土曜冬期,20220824,2
平日土曜冬期,20220825,2
平日土曜冬期,20220826,2
平日土曜冬期,20220827,2
平日土曜冬期,20220828,2
平日土曜冬期,20220829,2
平日土曜冬期,20220830,2
平日土曜冬期,20220831,2
平日土曜冬期,20220901,2
平日土曜冬期,20220902,2
平日土曜冬期,20220903,2
平日土曜冬期,20220904,2
平日土曜冬期,20220905,2
平日土曜冬期,20220906,2
平日土曜冬期,20220907,2
平日土曜冬期,20220908,2
平日土曜冬期,20220909,2
平日土曜冬期,20220910,2
平日土曜冬期,20220911,2
平日土曜冬期,20220912,2
平日土曜冬期,20220913,2
平日土曜冬期,20220914,2
平日土曜冬期,20220915,2
平日土曜冬期,20220916,2
平日土曜冬期,20220917,2
平日土曜冬期,20220918,2
平日土曜冬期,20220919,2
平日土曜冬期,20220920,2
平日土曜冬期,20220921,2
平日土曜冬期,20220922,2
平日土曜冬期,20220923,2
平日土曜冬期,20220924,2
平日土曜冬期,20220925,2
平日土曜冬期,20220926,2
平日土曜冬期,20220927,2
平日土曜冬期,20220928,2
平日土曜冬期,20220929,2
平日土曜冬期,20220930,2
平日土曜冬期,20221001,2
平日土曜冬期,20221002,2
平日土曜冬期,20221003,2
平日土曜冬期,20221004,2
平日土曜冬期,20221005,2
平日土曜冬期,20221006,2
平日土曜冬期,20221007,2
平日土曜冬期,20221008,2
平日土曜冬期,20221009,2
平日土曜冬期,20221010,2
平日土曜冬期,20221011,2
平日土曜冬期,20221012,2
平日土曜冬期,20221013,2
平日土曜冬期,20221014,2
平日土曜冬期,20221015,2
平日土曜冬期,20221016,2
平日土曜冬期,20221017,2
平日土曜冬期,20221018,2
平日土曜冬期,20221019,2
平日土曜冬期,20221020,2
平日土曜冬期,20221021,2
平日土曜冬期,20221022,2
平日土曜冬期,20221023,2
平日土曜冬期,20221024,2
平日土曜冬期,20221025,2
平日土曜冬期,20221026,2
平日土曜冬期,20221027,2
平日土曜冬期,20221028,2
平日土曜冬期,20221029,2
平日土曜冬期,20221030,2
平日土曜冬期,20221031,2
平日土曜冬期,20221101,2
平日土曜冬期,20221102,2
平日土曜冬期,20221103,2
平日土曜冬期,20221104,2
平日土曜冬期,20221105,2
平日土曜冬期,20221106,2
平日土曜冬期,20221107,2
平日土曜冬期,20221108,2
平日土曜冬期,20221109,2
平日土曜冬期,20221110,2
平日土曜冬期,20221111,2
平日土曜冬期,20221112,2
平日土曜冬期,20221113,2
平日土曜冬期,20221114,2
平日土曜冬期,20221115,2
平日土曜冬期,20221116,2
平日土曜冬期,20221117,2
平日土曜冬期,20221118,2
平日土曜冬期,20221119,2
平日土曜冬期,20221120,2
平日土曜冬期,20221121,2
平日土曜冬期,20221122,2
平日土曜冬期,20221123,2
平日土曜冬期,20221124,2
平日土曜冬期,20221125,2
平日土曜冬期,20221126,2
平日土曜冬期,20221127,2
平日土曜冬期,20221128,2
平日土曜冬期,20221129,2
平日土曜冬期,20221130,2
